CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
262513.0,41.0,Male,42.0,14.0,4.0,14.0,Standard,Annual,512.81,29.0,0.0
21513.0,55.0,Male,46.0,27.0,3.0,11.0,Basic,Monthly,307.0,1.0,1.0
246844.0,49.0,Male,7.0,16.0,7.0,29.0,Standard,Annual,519.54,8.0,1.0
266885.0,49.0,Male,18.0,13.0,2.0,6.0,Basic,Quarterly,674.44,20.0,0.0
430104.0,24.0,Female,7.0,19.0,0.0,5.0,Basic,Quarterly,751.66,13.0,0.0
313109.0,43.0,Male,39.0,30.0,3.0,6.0,Premium,Quarterly,747.72,27.0,0.0
445490.0,49.0,Male,44.0,9.0,3.0,17.0,Standard,Annual,503.5,9.0,0.0
415967.0,22.0,Male,1.0,28.0,1.0,11.0,Standard,Annual,865.05,12.0,0.0
350826.0,40.0,Male,51.0,16.0,1.0,18.0,Standard,Annual,623.3,20.0,0.0
406806.0,33.0,Female,38.0,3.0,0.0,15.0,Basic,Quarterly,727.72,6.0,0.0
272590.0,26.0,Male,56.0,5.0,1.0,0.0,Premium,Quarterly,935.37,3.0,0.0
425905.0,47.0,Female,36.0,26.0,1.0,20.0,Premium,Annual,801.82,4.0,0.0
293009.0,35.0,Female,31.0,14.0,3.0,9.0,Premium,Annual,639.45,14.0,0.0
311325.0,27.0,Female,49.0,13.0,2.0,8.0,Basic,Annual,723.05,2.0,0.0
233629.0,23.0,Male,56.0,3.0,10.0,8.0,Standard,Quarterly,372.86,11.0,1.0
177517.0,26.0,Female,15.0,4.0,0.0,5.0,Premium,Quarterly,786.0,12.0,1.0
327395.0,23.0,Male,56.0,17.0,0.0,2.0,Basic,Annual,995.65,13.0,0.0
250888.0,37.0,Male,41.0,15.0,6.0,7.0,Basic,Monthly,918.13,13.0,1.0
375250.0,25.0,Male,25.0,27.0,2.0,20.0,Basic,Quarterly,573.16,23.0,0.0
328167.0,44.0,Male,7.0,18.0,2.0,4.0,Basic,Annual,662.03,15.0,0.0
171134.0,50.0,Female,14.0,26.0,4.0,18.0,Standard,Quarterly,819.0,12.0,0.0
55413.0,23.0,Male,38.0,22.0,2.0,11.0,Standard,Monthly,995.0,17.0,1.0
386603.0,23.0,Female,16.0,28.0,1.0,11.0,Standard,Quarterly,939.72,6.0,0.0
272722.0,43.0,Female,19.0,13.0,2.0,3.0,Basic,Annual,784.12,15.0,0.0
110379.0,50.0,Male,42.0,13.0,7.0,6.0,Premium,Quarterly,597.0,7.0,1.0
337667.0,39.0,Male,42.0,3.0,2.0,7.0,Premium,Annual,959.27,29.0,0.0
33170.0,58.0,Female,28.0,27.0,3.0,16.0,Premium,Monthly,795.0,20.0,1.0
302708.0,31.0,Female,60.0,11.0,0.0,15.0,Basic,Quarterly,876.14,13.0,0.0
2024.0,32.0,Female,12.0,8.0,6.0,2.0,Standard,Annual,996.0,13.0,1.0
191178.0,34.0,Male,42.0,24.0,3.0,15.0,Standard,Annual,840.0,1.0,0.0
440649.0,48.0,Male,60.0,24.0,2.0,2.0,Basic,Annual,681.73,24.0,0.0
344466.0,28.0,Male,3.0,15.0,0.0,14.0,Standard,Quarterly,615.5,20.0,0.0
76137.0,48.0,Male,29.0,15.0,4.0,7.0,Basic,Quarterly,400.0,24.0,1.0
167991.0,63.0,Male,9.0,30.0,8.0,5.0,Standard,Monthly,472.0,16.0,1.0
395185.0,44.0,Male,42.0,12.0,0.0,3.0,Premium,Annual,581.5,27.0,0.0
30958.0,28.0,Female,21.0,3.0,5.0,9.0,Basic,Monthly,988.0,19.0,1.0
181304.0,31.0,Male,15.0,21.0,6.0,12.0,Premium,Quarterly,498.0,3.0,1.0
175967.0,21.0,Male,33.0,18.0,5.0,15.0,Standard,Monthly,169.0,12.0,1.0
211502.0,37.0,Female,15.0,29.0,2.0,19.0,Standard,Quarterly,231.14,9.0,1.0
342073.0,37.0,Female,40.0,10.0,2.0,5.0,Basic,Annual,943.03,1.0,0.0
81697.0,55.0,Female,34.0,12.0,3.0,21.0,Basic,Quarterly,525.0,14.0,1.0
138538.0,22.0,Male,23.0,20.0,7.0,25.0,Premium,Quarterly,849.0,25.0,1.0
421198.0,35.0,Male,50.0,25.0,1.0,18.0,Basic,Annual,864.66,18.0,0.0
361140.0,39.0,Male,10.0,26.0,1.0,17.0,Premium,Quarterly,900.16,6.0,0.0
267448.0,38.0,Female,39.0,26.0,0.0,12.0,Standard,Quarterly,999.39,11.0,0.0
204500.0,18.0,Male,29.0,5.0,2.0,4.0,Basic,Annual,565.38,8.0,1.0
77288.0,55.0,Female,28.0,18.0,9.0,25.0,Basic,Quarterly,167.0,12.0,1.0
255185.0,21.0,Male,24.0,26.0,4.0,3.0,Basic,Quarterly,521.14,4.0,1.0
3851.0,21.0,Female,29.0,3.0,7.0,18.0,Premium,Quarterly,816.0,29.0,1.0
164759.0,52.0,Female,51.0,23.0,5.0,20.0,Standard,Quarterly,860.0,21.0,1.0
87440.0,55.0,Male,13.0,5.0,7.0,9.0,Premium,Quarterly,391.0,15.0,1.0
30892.0,65.0,Female,56.0,17.0,5.0,22.0,Premium,Monthly,177.0,27.0,1.0
414157.0,49.0,Male,49.0,11.0,1.0,16.0,Standard,Annual,957.41,2.0,0.0
14241.0,41.0,Female,1.0,22.0,9.0,7.0,Basic,Monthly,810.0,8.0,1.0
406162.0,38.0,Male,2.0,2.0,3.0,5.0,Standard,Annual,776.12,6.0,0.0
179001.0,50.0,Male,41.0,18.0,3.0,17.0,Premium,Monthly,565.0,29.0,1.0
408242.0,18.0,Male,11.0,30.0,1.0,6.0,Basic,Quarterly,721.43,6.0,0.0
370535.0,34.0,Male,8.0,21.0,1.0,18.0,Basic,Annual,637.65,21.0,0.0
273467.0,30.0,Female,38.0,9.0,0.0,2.0,Premium,Annual,687.31,9.0,0.0
71508.0,19.0,Male,48.0,20.0,5.0,19.0,Premium,Annual,933.0,15.0,1.0
448274.0,25.0,Female,13.0,18.0,0.0,3.0,Premium,Annual,877.88,4.0,0.0
37165.0,41.0,Male,48.0,4.0,2.0,22.0,Premium,Quarterly,913.0,8.0,1.0
188407.0,45.0,Male,35.0,20.0,2.0,10.0,Premium,Quarterly,120.0,1.0,1.0
188303.0,50.0,Female,9.0,3.0,3.0,7.0,Basic,Monthly,764.0,21.0,1.0
302089.0,50.0,Male,26.0,7.0,5.0,18.0,Basic,Quarterly,641.94,17.0,0.0
118024.0,51.0,Female,11.0,3.0,5.0,17.0,Premium,Annual,871.0,29.0,1.0
122600.0,34.0,Male,40.0,23.0,8.0,28.0,Basic,Monthly,943.0,4.0,1.0
349485.0,38.0,Male,7.0,17.0,3.0,2.0,Premium,Quarterly,521.48,16.0,0.0
17511.0,55.0,Male,23.0,25.0,2.0,5.0,Premium,Annual,300.0,14.0,1.0
126904.0,36.0,Male,40.0,23.0,1.0,13.0,Premium,Monthly,103.0,30.0,1.0
319276.0,40.0,Male,39.0,3.0,2.0,18.0,Basic,Quarterly,952.43,26.0,0.0
279115.0,24.0,Male,31.0,24.0,1.0,6.0,Basic,Annual,891.65,7.0,0.0
345089.0,34.0,Male,9.0,4.0,2.0,1.0,Standard,Annual,508.75,23.0,0.0
336794.0,45.0,Male,4.0,11.0,4.0,17.0,Standard,Annual,902.38,30.0,0.0
288713.0,40.0,Male,47.0,4.0,0.0,11.0,Basic,Annual,657.66,8.0,0.0
289734.0,38.0,Male,34.0,2.0,0.0,6.0,Basic,Annual,964.4,20.0,0.0
307291.0,21.0,Male,3.0,5.0,0.0,11.0,Premium,Quarterly,700.49,17.0,0.0
87222.0,29.0,Male,57.0,12.0,6.0,21.0,Standard,Monthly,307.0,17.0,1.0
207483.0,18.0,Female,13.0,29.0,9.0,25.0,Standard,Annual,417.85,17.0,1.0
41586.0,38.0,Male,12.0,16.0,5.0,1.0,Standard,Annual,556.0,21.0,1.0
28427.0,25.0,Female,20.0,9.0,5.0,8.0,Basic,Annual,302.0,17.0,1.0
80780.0,65.0,Female,55.0,26.0,7.0,11.0,Basic,Monthly,153.0,12.0,1.0
139389.0,42.0,Female,47.0,7.0,4.0,24.0,Basic,Monthly,736.0,10.0,1.0
326876.0,48.0,Female,44.0,27.0,2.0,19.0,Basic,Quarterly,513.75,1.0,0.0
83078.0,58.0,Female,31.0,4.0,10.0,22.0,Premium,Quarterly,275.0,8.0,1.0
270092.0,38.0,Male,25.0,23.0,3.0,11.0,Standard,Annual,908.89,25.0,0.0
375237.0,47.0,Male,45.0,16.0,3.0,9.0,Standard,Annual,699.71,14.0,0.0
375723.0,35.0,Male,35.0,12.0,1.0,0.0,Basic,Annual,620.53,22.0,0.0
214672.0,25.0,Male,60.0,22.0,6.0,4.0,Premium,Monthly,214.54,29.0,1.0
217208.0,59.0,Male,47.0,11.0,6.0,2.0,Premium,Monthly,294.11,12.0,1.0
21101.0,61.0,Female,14.0,2.0,6.0,18.0,Standard,Monthly,804.0,25.0,1.0
312993.0,45.0,Female,47.0,24.0,3.0,3.0,Standard,Quarterly,713.7,15.0,0.0
413809.0,25.0,Male,43.0,3.0,2.0,10.0,Premium,Quarterly,650.82,6.0,0.0
368259.0,35.0,Female,10.0,24.0,3.0,18.0,Basic,Quarterly,972.0,14.0,0.0
405322.0,37.0,Male,8.0,9.0,2.0,13.0,Basic,Quarterly,549.28,4.0,0.0
215994.0,41.0,Female,29.0,14.0,0.0,8.0,Basic,Monthly,203.74,6.0,1.0
74569.0,47.0,Female,39.0,29.0,9.0,20.0,Premium,Monthly,304.0,14.0,1.0
135187.0,30.0,Female,42.0,4.0,2.0,5.0,Premium,Quarterly,277.0,28.0,1.0
383379.0,30.0,Male,29.0,7.0,1.0,14.0,Standard,Quarterly,914.65,11.0,0.0
315682.0,20.0,Male,44.0,24.0,0.0,16.0,Basic,Annual,500.28,1.0,0.0
297819.0,28.0,Female,50.0,30.0,0.0,7.0,Standard,Annual,563.23,6.0,0.0
326972.0,39.0,Female,50.0,6.0,2.0,1.0,Premium,Quarterly,765.88,2.0,0.0
313132.0,32.0,Male,22.0,26.0,3.0,15.0,Premium,Quarterly,757.51,8.0,0.0
149999.0,62.0,Female,34.0,3.0,4.0,16.0,Basic,Quarterly,896.0,15.0,1.0
333199.0,36.0,Female,6.0,25.0,2.0,9.0,Premium,Annual,976.22,2.0,0.0
382331.0,50.0,Male,35.0,12.0,3.0,14.0,Premium,Quarterly,619.82,29.0,0.0
361630.0,24.0,Female,19.0,27.0,1.0,14.0,Premium,Quarterly,898.97,3.0,0.0
399971.0,41.0,Female,6.0,13.0,3.0,15.0,Premium,Quarterly,569.42,15.0,0.0
155127.0,55.0,Male,2.0,30.0,5.0,7.0,Basic,Monthly,956.0,15.0,1.0
429752.0,50.0,Female,55.0,4.0,5.0,8.0,Standard,Annual,966.24,5.0,0.0
290834.0,29.0,Female,6.0,10.0,1.0,1.0,Premium,Annual,680.23,7.0,0.0
284361.0,50.0,Male,49.0,1.0,0.0,18.0,Basic,Quarterly,959.22,6.0,0.0
240429.0,31.0,Male,56.0,15.0,4.0,4.0,Standard,Quarterly,183.14,5.0,1.0
327982.0,29.0,Male,12.0,19.0,1.0,7.0,Standard,Quarterly,857.83,7.0,0.0
342920.0,46.0,Male,17.0,23.0,1.0,20.0,Basic,Annual,815.6,9.0,0.0
76782.0,56.0,Male,32.0,1.0,3.0,28.0,Premium,Quarterly,613.0,24.0,1.0
436532.0,48.0,Male,10.0,3.0,0.0,19.0,Basic,Annual,697.56,11.0,0.0
289933.0,36.0,Male,55.0,15.0,0.0,8.0,Standard,Annual,515.15,21.0,0.0
446688.0,39.0,Male,21.0,19.0,0.0,18.0,Premium,Quarterly,719.11,3.0,0.0
318155.0,48.0,Female,41.0,28.0,0.0,7.0,Standard,Annual,928.85,14.0,0.0
271393.0,25.0,Female,57.0,11.0,1.0,20.0,Standard,Annual,716.07,9.0,0.0
397577.0,47.0,Male,3.0,8.0,3.0,4.0,Standard,Annual,529.96,11.0,0.0
85712.0,45.0,Male,7.0,12.0,0.0,26.0,Premium,Quarterly,499.0,11.0,1.0
434614.0,37.0,Male,59.0,10.0,1.0,18.0,Basic,Quarterly,792.48,24.0,0.0
446361.0,30.0,Female,38.0,11.0,1.0,13.0,Basic,Annual,694.01,12.0,0.0
108600.0,37.0,Male,54.0,28.0,3.0,16.0,Basic,Annual,269.0,1.0,1.0
311949.0,41.0,Female,7.0,12.0,1.0,5.0,Standard,Annual,555.64,11.0,0.0
130957.0,35.0,Male,53.0,27.0,5.0,30.0,Standard,Monthly,706.0,17.0,1.0
83486.0,29.0,Male,50.0,26.0,3.0,5.0,Premium,Quarterly,924.0,16.0,1.0
1235.0,56.0,Female,58.0,19.0,10.0,17.0,Premium,Annual,547.0,27.0,1.0
221873.0,42.0,Male,20.0,9.0,9.0,26.0,Basic,Monthly,951.82,23.0,1.0
95330.0,64.0,Female,58.0,14.0,8.0,18.0,Basic,Quarterly,845.0,5.0,1.0
172635.0,42.0,Male,37.0,8.0,3.0,20.0,Standard,Annual,506.0,13.0,0.0
378243.0,37.0,Female,48.0,26.0,2.0,3.0,Premium,Quarterly,904.27,9.0,0.0
238744.0,41.0,Male,42.0,22.0,0.0,30.0,Standard,Quarterly,441.66,2.0,1.0
61609.0,39.0,Male,44.0,6.0,8.0,8.0,Standard,Annual,456.0,6.0,1.0
251960.0,59.0,Male,7.0,6.0,7.0,13.0,Basic,Monthly,186.19,4.0,1.0
227636.0,27.0,Male,25.0,8.0,6.0,9.0,Premium,Annual,746.15,5.0,1.0
315556.0,42.0,Male,26.0,3.0,2.0,8.0,Basic,Quarterly,501.72,9.0,0.0
313886.0,33.0,Male,45.0,14.0,3.0,20.0,Basic,Quarterly,503.82,11.0,0.0
60996.0,48.0,Female,41.0,13.0,1.0,24.0,Standard,Quarterly,334.0,25.0,1.0
251539.0,59.0,Female,24.0,5.0,6.0,9.0,Standard,Quarterly,770.8,20.0,1.0
192161.0,50.0,Female,41.0,5.0,3.0,16.0,Basic,Monthly,545.0,10.0,1.0
216962.0,33.0,Female,31.0,29.0,3.0,13.0,Standard,Annual,488.42,20.0,1.0
65783.0,48.0,Female,30.0,16.0,3.0,23.0,Basic,Monthly,236.0,30.0,1.0
160651.0,52.0,Male,14.0,21.0,5.0,3.0,Premium,Annual,690.0,12.0,1.0
34651.0,63.0,Male,7.0,17.0,1.0,24.0,Basic,Quarterly,157.0,23.0,1.0
113728.0,27.0,Female,25.0,10.0,8.0,29.0,Standard,Monthly,748.0,18.0,1.0
195283.0,18.0,Male,48.0,24.0,6.0,27.0,Standard,Annual,116.0,25.0,1.0
97157.0,55.0,Male,16.0,9.0,9.0,14.0,Basic,Annual,164.0,8.0,1.0
299150.0,36.0,Male,58.0,3.0,0.0,5.0,Premium,Annual,699.36,4.0,0.0
172343.0,59.0,Female,8.0,11.0,8.0,7.0,Standard,Monthly,381.0,20.0,1.0
220834.0,65.0,Male,4.0,17.0,9.0,8.0,Standard,Annual,378.92,25.0,1.0
204492.0,27.0,Female,46.0,6.0,9.0,11.0,Premium,Quarterly,602.43,26.0,1.0
389879.0,46.0,Male,38.0,22.0,3.0,17.0,Standard,Quarterly,858.77,12.0,0.0
394590.0,47.0,Female,19.0,13.0,3.0,19.0,Premium,Quarterly,952.63,3.0,0.0
159677.0,63.0,Female,50.0,1.0,9.0,14.0,Standard,Quarterly,471.0,4.0,1.0
247862.0,34.0,Female,43.0,28.0,4.0,1.0,Basic,Annual,605.22,19.0,1.0
143083.0,53.0,Female,25.0,1.0,4.0,10.0,Premium,Monthly,297.0,26.0,1.0
374505.0,26.0,Female,6.0,12.0,1.0,1.0,Basic,Annual,500.28,10.0,0.0
370411.0,31.0,Female,19.0,28.0,3.0,1.0,Standard,Annual,613.19,8.0,0.0
24238.0,36.0,Male,16.0,13.0,10.0,8.0,Premium,Annual,550.0,28.0,1.0
428020.0,47.0,Male,50.0,23.0,0.0,8.0,Basic,Quarterly,605.1,19.0,0.0
399728.0,25.0,Male,47.0,25.0,2.0,5.0,Basic,Quarterly,677.56,6.0,0.0
275934.0,18.0,Male,42.0,28.0,0.0,3.0,Premium,Annual,515.85,6.0,0.0
189712.0,19.0,Female,10.0,2.0,6.0,2.0,Standard,Annual,503.0,16.0,1.0
430177.0,41.0,Male,10.0,30.0,2.0,13.0,Premium,Quarterly,595.75,7.0,0.0
321730.0,30.0,Male,19.0,30.0,2.0,4.0,Premium,Quarterly,678.45,15.0,0.0
83800.0,21.0,Female,60.0,28.0,0.0,26.0,Basic,Quarterly,682.0,14.0,1.0
269184.0,33.0,Male,28.0,2.0,0.0,4.0,Premium,Annual,573.27,8.0,0.0
78746.0,33.0,Male,4.0,9.0,6.0,28.0,Basic,Annual,148.0,14.0,1.0
343242.0,21.0,Male,9.0,23.0,2.0,5.0,Premium,Quarterly,562.08,22.0,0.0
14286.0,37.0,Male,16.0,22.0,2.0,21.0,Basic,Quarterly,306.0,14.0,1.0
250924.0,58.0,Male,32.0,14.0,1.0,30.0,Basic,Annual,878.14,4.0,1.0
383907.0,40.0,Female,39.0,23.0,1.0,0.0,Standard,Quarterly,563.13,10.0,0.0
4081.0,22.0,Male,20.0,17.0,9.0,17.0,Basic,Monthly,670.0,14.0,1.0
96833.0,41.0,Male,55.0,26.0,8.0,26.0,Basic,Quarterly,894.0,22.0,1.0
83342.0,53.0,Female,22.0,9.0,2.0,12.0,Standard,Quarterly,808.0,7.0,1.0
345932.0,38.0,Male,50.0,9.0,0.0,12.0,Standard,Annual,715.14,11.0,0.0
305757.0,50.0,Female,47.0,8.0,0.0,2.0,Premium,Annual,830.19,12.0,0.0
4640.0,41.0,Female,52.0,17.0,7.0,25.0,Premium,Monthly,654.0,12.0,1.0
110710.0,44.0,Male,31.0,17.0,5.0,30.0,Standard,Monthly,357.0,14.0,1.0
366200.0,41.0,Female,50.0,26.0,4.0,9.0,Standard,Annual,531.57,8.0,0.0
292774.0,45.0,Female,42.0,24.0,1.0,13.0,Standard,Annual,917.8,9.0,0.0
246490.0,61.0,Male,50.0,30.0,3.0,19.0,Standard,Annual,655.89,29.0,1.0
123477.0,25.0,Female,40.0,28.0,1.0,2.0,Premium,Quarterly,581.0,29.0,1.0
46910.0,41.0,Female,49.0,30.0,5.0,1.0,Basic,Quarterly,382.0,19.0,1.0
152641.0,32.0,Male,52.0,18.0,7.0,15.0,Basic,Monthly,472.0,20.0,1.0
421166.0,47.0,Female,28.0,14.0,1.0,12.0,Standard,Quarterly,568.69,12.0,0.0
355790.0,39.0,Female,2.0,6.0,3.0,11.0,Premium,Quarterly,985.92,7.0,0.0
277030.0,18.0,Female,54.0,28.0,1.0,20.0,Premium,Quarterly,785.65,5.0,0.0
181539.0,63.0,Female,47.0,2.0,8.0,17.0,Standard,Quarterly,100.0,29.0,1.0
45551.0,25.0,Female,56.0,24.0,9.0,24.0,Basic,Annual,625.0,13.0,1.0
160098.0,39.0,Male,23.0,15.0,7.0,14.0,Basic,Monthly,698.0,13.0,1.0
266616.0,27.0,Male,43.0,1.0,2.0,14.0,Premium,Quarterly,885.12,2.0,0.0
366486.0,35.0,Male,48.0,15.0,2.0,16.0,Basic,Quarterly,652.55,18.0,0.0
318971.0,39.0,Female,39.0,22.0,3.0,16.0,Premium,Quarterly,875.0,7.0,0.0
